test-case,cfg,date,total_time-time,total_time-main,beta,avg-PIs,n-PIs,1st-PI,2nd-PI,avg(2-6),avg(2-11)
bt.B,m4.large-8,06-19-20-15:23:49,79.92,79.103001,0.000669,0.389693,200,0.391256,0.391256,0.7819098,0.3518293
bt.B,m4.large-8,06-19-20-01:07:51,80.76,79.951359,0.000662,0.393893,200,0.395399,0.395399,0.7859618,0.353441
bt.B,m4.large-4,06-18-20-23:05:21,86.70,85.924550,0.000723,0.423389,200,0.415395,0.415395,0.8480544,0.3824877
bt.B,m4.large-4,06-19-20-01:53:21,87.24,86.471992,0.000774,0.426097,200,0.412151,0.412151,0.8575851999999999,0.3875775
bt.B,m4.large-4,06-19-20-11:09:16,86.17,85.399512,0.000612,0.420863,200,0.421887,0.421887,0.8429528,0.3792877
bt.B,m5.large-2,06-20-20-11:23:13,234.19,233.566405,0.000628,1.151421,200,1.15554,1.15554,2.311438,1.040165
bt.B,m5.large-2,06-19-20-22:48:26,233.11,232.474636,0.000626,1.146012,200,1.153484,1.153484,2.3054446000000004,1.0373739
bt.B,m5.large-2,06-20-20-10:28:55,233.96,233.317104,0.000632,1.150166,200,1.157561,1.157561,2.3123278,1.0404078
bt.B,t3.large-2,06-17-20-19:27:57,245.15,244.384622,0.000634,1.204525,200,1.214146,1.214146,2.4238716000000005,1.0905212
bt.B,t3.large-2,06-17-20-20:29:37,250.07,249.291990,0.000613,1.229221,200,1.234376,1.234376,2.4807456,1.1169352
bt.B,t3.large-2,06-17-20-11:53:22,245.24,244.508633,0.000630,1.205503,200,1.210038,1.210038,2.42134,1.0896662000000001
bt.B,t3.large-8,06-18-20-17:20:26,67.98,67.113031,0.000629,0.330371,200,0.374632,0.374632,0.6729676,0.29902059999999997
bt.B,t3.large-8,06-18-20-15:44:21,66.10,65.018461,0.000641,0.319913,200,0.319962,0.319962,0.6445924,0.2903
bt.B,t3.large-8,06-18-20-16:42:07,65.96,65.063948,0.000623,0.320159,200,0.320687,0.320687,0.6451264,0.2904945
bt.B,m5.large-8,06-20-20-01:11:33,61.89,61.185285,0.000616,0.301119,200,0.30312,0.30312,0.6071799999999999,0.273278
bt.B,m5.large-8,06-20-20-01:50:22,61.54,60.842708,0.000622,0.299524,200,0.300593,0.300593,0.6012524,0.2705669
bt.B,m5.large-8,06-20-20-02:26:10,61.46,60.763497,0.000615,0.299080,200,0.299455,0.299455,0.599775,0.269942
bt.B,t3.large-4,06-17-20-13:07:02,66.34,65.559023,0.000629,0.322813,200,0.327955,0.327955,0.6497238000000001,0.29206640000000006
bt.B,t3.large-4,06-17-20-22:08:37,66.43,65.430154,0.000620,0.322143,200,0.334263,0.334263,0.6476497999999999,0.29039859999999995
bt.B,t3.large-4,06-24-20-21:31:08,66.78,65.987576,0.000664,0.324228,200,0.53006,0.53006,0.6897498000000001,0.2918689
bt.B,m4.large-2,06-19-20-12:16:25,284.22,283.489225,0.000647,1.397931,200,1.405337,1.405337,2.8110066,1.2649696000000001
bt.B,m4.large-2,06-18-20-21:28:07,285.35,284.603590,0.000640,1.403392,200,1.404655,1.404655,2.8118904000000002,1.2654797
bt.B,m4.large-2,06-19-20-13:33:26,290.43,289.696412,0.000652,1.428549,200,1.434872,1.434872,2.8723462,1.2926859
bt.B,m5.large-4,06-20-20-00:20:07,61.62,60.973444,0.000628,0.300166,200,0.301095,0.301095,0.6029466,0.2713638
bt.B,m5.large-4,06-20-20-10:01:39,68.33,67.599770,0.001023,0.332428,200,0.303533,0.303533,0.6607854,0.30003939999999996
bt.B,m5.large-4,06-20-20-03:00:29,87.03,86.337336,0.000694,0.425742,200,0.300253,0.300253,0.6001334,0.27004140000000004
ft.C,m4.large-8,06-19-20-15:33:12,93.61,92.751508,0.000000,4.006666,20,4.059648,4.059648,8.4179414,3.8030059
ft.C,m4.large-8,06-19-20-00:35:28,93.73,92.887321,0.000000,4.016871,20,4.290504,4.290504,8.4647332,3.8033162
ft.C,m4.large-8,06-19-20-01:17:13,93.71,92.873777,0.000000,4.012071,20,4.155662,4.155662,8.4311708,3.8000192000000004
ft.C,m4.large-4,06-18-20-23:15:24,182.84,181.985348,0.000000,7.811053,20,8.503139,8.503139,16.44275,7.3710611
ft.C,m4.large-4,06-19-20-11:19:18,179.25,178.421665,0.000000,7.627026,20,8.17882,8.17882,16.073276,7.218756000000001
