test-case,cfg,date,total_time-time,total_time-main,beta,avg-PIs,n-PIs,1st-PI,2nd-PI,avg(2-6),avg(2-11)
cg.C,node06-4,06-16-20-12:22:30,97.02,96.875018,0.000004,1.241579,75,1.28615,1.28615,2.5310378,1.1369039
cg.C,node06-4,06-16-20-18:08:22,97.92,97.774905,0.000003,1.253431,75,1.285825,1.285825,2.5469859999999995,1.1449105
cg.C,node06-1,06-16-20-18:02:05,245.93,245.762654,0.000001,3.154063,75,3.320492,3.320492,6.4626964000000005,2.899299
cg.C,node06-1,06-16-20-12:16:13,246.44,246.278381,0.000001,3.159808,75,3.330548,3.330548,6.469839400000001,2.9018649000000005
cg.C,node06-1,06-16-20-20:57:24,247.54,247.380475,0.000001,3.175584,75,3.313355,3.313355,6.547676,2.9425025
cg.C,t3.large-2,06-17-20-20:55:29,1:04.49,63.659509,0.000005,0.811891,75,0.823063,0.823063,1.6443828,0.7398850999999999
cg.C,t3.large-2,06-17-20-12:20:41,1:07.89,67.164845,0.000005,0.857356,75,0.867186,0.867186,1.7467913999999998,0.7866771000000001
cg.C,t3.large-2,06-17-20-19:53:56,1:06.51,65.723514,0.000005,0.837065,75,0.849435,0.849435,1.6983088,0.7642109
cg.C,t3.large-4,06-18-20-10:33:32,0:38.95,37.754229,0.000025,0.479995,75,0.483538,0.483538,0.9675008,0.4353966000000001
cg.C,t3.large-4,06-17-20-13:17:41,0:38.60,37.871416,0.000028,0.482116,75,0.491747,0.491747,0.9723836000000002,0.4370171
cg.C,t3.large-4,06-17-20-22:17:48,0:39.00,38.067999,0.000030,0.484004,75,0.490535,0.490535,0.9818874,0.4418902
cg.C,node06-8,06-16-20-12:24:07,43.59,43.449451,0.000006,0.553298,75,0.558706,0.558706,1.1243173999999998,0.5062880999999999
cg.C,node06-8,06-16-20-18:09:59,43.53,43.404887,0.000007,0.552439,75,0.558148,0.558148,1.1256929999999998,0.5070317
cg.C,node06-8,06-16-20-21:05:20,43.68,43.544010,0.000006,0.554821,75,0.559142,0.559142,1.1297008000000002,0.5089362000000001
3Dadvect,8node06,06-16-20-17:00:25,43.53,0,0.00334583223099,0.0916672583376,445,0.0860679149628,0.0860679149628,0.19538860321060003,0.08908751010902001
3Dadvect,8node06,06-16-20-16:29:40,43.78,0,0.00341474564173,0.09239124716,445,0.0814890861511,0.0814890861511,0.19344182014473998,0.08857200145725999
3Dadvect,1node06,06-16-20-16:23:42,183.18,0,0.000840603037799,0.403846152981,445,0.439644098282,0.439644098282,0.8247724056242,0.3684217929839
3Dadvect,1node06,06-16-20-16:54:24,184.70,0,0.000819958679105,0.407567990764,445,0.437470912933,0.437470912933,0.8312987804409999,0.3719022989272
3Dadvect,4node06,06-16-20-16:28:34,66.15,0,0.00210846501395,0.142612775524,445,0.137791156769,0.137791156769,0.295225429535,0.13383359909059997
3Dadvect,4node06,06-16-20-16:59:19,66.40,0,0.00214599795574,0.143194089847,445,0.140789031982,0.140789031982,0.2958336353302001,0.13383791446690002
3Dadvect,2node06,06-16-20-16:26:45,109.31,0,0.00127908366415,0.239406182257,445,0.240349054337,0.240349054337,0.4905224323272,0.2212263107299
3Dadvect,2node06,06-16-20-16:57:28,110.69,0,0.00124500952551,0.242194672381,445,0.236812114716,0.236812114716,0.50053024292,0.2265839099884
bt.C,node06-2,06-16-20-18:53:29,1206.42,1206.252267,0.000587,5.947004,200,6.440688,6.440688,12.4179566,5.5649095
bt.C,node06-2,06-16-20-13:07:29,1214.42,1214.260480,0.000578,5.987421,200,6.429163,6.429163,12.436509800000001,5.5753386
bt.C,node06-2,06-16-20-21:48:51,1199.24,1199.078227,0.000582,5.911720,200,6.439268,6.439268,12.461883799999999,5.5870151
bt.C,node06-4,06-16-20-13:27:43,336.94,336.794959,0.000762,1.660218,200,1.752306,1.752306,3.4030590000000003,1.5262989
bt.C,node06-4,06-16-20-19:13:35,340.48,340.329847,0.000743,1.677903,200,1.783907,1.783907,3.4467508000000002,1.5449847
bt.C,node06-4,06-16-20-22:08:50,340.65,340.503408,0.000728,1.678695,200,1.778684,1.778684,3.4356904,1.5399768
bt.C,node06-1,06-16-20-12:48:07,1161.96,1161.796101,0.000600,5.728529,200,6.285263,6.285263,11.8780364,5.3104919
bt.C,node06-1,06-16-20-21:29:21,1169.78,1169.620572,0.000630,5.767637,200,6.138413,6.138413,11.869603800000002,5.3209606
bt.C,node06-1,06-16-20-18:33:57,1172.06,1171.910671,0.000618,5.777952,200,6.256548,6.256548,12.112963,5.430826700000001
bt.C,t3.large-2,06-17-20-20:34:36,16:53.44,1012.588536,0.000598,4.994879,200,5.033442,5.033442,10.0620734,4.5276925
bt.C,t3.large-2,06-17-20-11:58:47,17:07.89,1027.111875,0.000601,5.066151,200,5.073802,5.073802,10.1699686,4.5776041
bt.C,t3.large-2,06-17-20-19:32:50,17:14.11,1033.232383,0.000613,5.096501,200,5.1221,5.1221,10.244543799999999,4.610061900000001
bt.C,t3.large-4,06-17-20-13:09:23,4:29.59,268.589418,0.000639,1.324439,200,1.31904,1.31904,2.6413856,1.1887887999999998
bt.C,t3.large-4,06-17-20-22:10:29,4:26.13,265.201827,0.000629,1.307561,200,1.309858,1.309858,2.6247342,1.1813813
bt.C,t3.large-4,06-18-20-10:26:02,4:26.89,265.993992,0.000633,1.311628,200,1.307059,1.307059,2.6222324000000006,1.1804103
bt.C,node06-8,06-16-20-19:19:16,346.35,346.208481,0.000706,1.706944,200,1.811166,1.811166,3.4929333999999996,1.5653501
bt.C,node06-8,06-16-20-13:33:20,343.92,343.788627,0.000704,1.694786,200,1.78886,1.78886,3.4638045999999996,1.5530163
bt.C,node06-8,06-16-20-22:14:31,345.82,345.686168,0.000709,1.704476,200,1.806239,1.806239,3.4932366000000004,1.5659944000000001
cg.B,node06-2,06-16-20-18:00:47,38.32,38.156400,0.000006,0.487025,75,0.494816,0.494816,0.9917636,0.44640019999999997
cg.B,node06-2,06-16-20-12:14:55,38.32,38.197393,0.000007,0.487530,75,0.498218,0.498218,0.9945223999999999,0.44743940000000004
cg.B,node06-2,06-16-20-20:56:06,38.39,38.264437,0.000007,0.488262,75,0.492132,0.492132,0.9965236000000001,0.44904859999999996
cg.B,node06-4,06-16-20-20:56:45,29.21,29.072171,0.000011,0.370779,75,0.392454,0.392454,0.7620480000000001,0.34177860000000004
cg.B,node06-4,06-16-20-12:15:33,29.15,29.024888,0.000009,0.370141,75,0.39038,0.39038,0.7550412,0.3384826
cg.B,node06-4,06-16-20-18:01:26,29.20,29.078205,0.000010,0.370782,75,0.38977,0.38977,0.7570294,0.3395377
cg.B,node06-1,06-16-20-17:59:20,87.59,87.466289,0.000003,1.123106,75,1.173228,1.173228,2.2951027999999996,1.0302286
cg.B,node06-1,06-16-20-20:54:38,87.94,87.815416,0.000003,1.127484,75,1.189222,1.189222,2.316272,1.0392138
cg.B,node06-1,06-16-20-12:13:27,87.66,87.526656,0.000003,1.123762,75,1.176027,1.176027,2.301408,1.0331013
cg.B,node06-8,06-16-20-20:57:14,10.43,10.314911,0.000028,0.128593,75,0.129553,0.129553,0.2612318,0.1176606
cg.B,node06-8,06-16-20-18:01:55,10.42,10.313808,0.000026,0.128968,75,0.129837,0.129837,0.2619564,0.1179945
cg.B,node06-8,06-16-20-12:16:03,10.40,10.286789,0.000029,0.128576,75,0.129672,0.129672,0.2618714000000001,0.1179685
sp.C,node06-2,06-16-20-19:48:56,881.29,881.000285,0.000829,2.180025,400,2.465,2.465,4.6190694,2.0630347
sp.C,node06-2,06-16-20-22:44:25,877.34,877.044817,0.000812,2.170568,400,2.35415,2.35415,4.554004400000001,2.0415872000000004
sp.C,node06-2,06-16-20-14:02:56,881.28,880.982291,0.000863,2.180091,400,2.356746,2.356746,4.5665672,2.047609
sp.C,node06-4,06-16-20-22:59:02,361.97,361.682976,0.000848,0.896429,400,0.896133,0.896133,1.812045,0.8164092000000001
sp.C,node06-4,06-16-20-20:03:37,362.48,362.197560,0.000844,0.897667,400,0.89419,0.89419,1.8099646000000003,0.8155633
sp.C,node06-4,06-16-20-14:17:37,360.89,360.606985,0.000848,0.893784,400,0.905183,0.905183,1.8130281999999998,0.8159957999999999
sp.C,node06-1,06-16-20-13:48:54,841.64,841.352066,0.000807,2.082181,400,2.357778,2.357778,4.3934082000000005,1.9609263000000001
sp.C,node06-1,06-16-20-22:30:08,856.83,856.577501,0.000818,2.119680,400,2.379542,2.379542,4.4430882,1.9835899000000001
sp.C,node06-1,06-16-20-19:34:53,842.91,842.633012,0.000805,2.085256,400,2.354872,2.354872,4.386724599999999,1.9578751
